id;description_of_goods;hs_code;unit;quantity;value;manufactring_cost_stmt_id
1;Supervisor convergence;customer loyalty azure;Up-sized Bedfordshire;87405;30728;extend Lao People's Democratic Republic
2;De-engineered;turn-key Concrete;killer Buckinghamshire New York;78619;53428;navigate Sleek Concrete Pizza
3;portal China;Generic UAE Dirham Towels;Avon;5278;1643;innovate Cote d'Ivoire
4;invoice;Stream;Shores;86489;99534;partnerships intermediate compressing
5;frictionless;hub Agent Multi-channelled;Nuevo Sol Directives models;33895;74335;Triple-buffered Tools
6;Corporate;Associate;generating Refined Fresh Chair;56364;62505;Locks Hawaii
7;invoice solution open-source;program Pizza;New Caledonia impactful;7273;28047;Practical
8;grid-enabled;hacking copy;expedite;36424;41217;Down-sized
9;Wisconsin;Home Loan Account;web-enabled bypass compress;19052;63225;Singapore Dollar driver
10;B2C;EXE;magenta;72966;44313;Inlet strategic
